bill_bill_type,bill_billing_entity,bill_billing_period_end_date,bill_billing_period_start_date,bill_invoice_id,bill_invoicing_entity,bill_payer_account_id,bill_payer_account_name,cost_category,discount,discount_bundled_discount,discount_total_discount,identity_line_item_id,identity_time_interval,line_item_availability_zone,line_item_blended_cost,line_item_blended_rate,line_item_currency_code,line_item_legal_entity,line_item_line_item_description,line_item_line_item_type,line_item_net_unblended_cost,line_item_net_unblended_rate,line_item_normalization_factor,line_item_normalized_usage_amount,line_item_operation,line_item_product_code,line_item_tax_type,line_item_unblended_cost,line_item_unblended_rate,line_item_usage_account_id,line_item_usage_account_name,line_item_usage_amount,line_item_usage_end_date,line_item_usage_start_date,line_item_usage_type,pricing_currency,pricing_lease_contract_length,pricing_offering_class,pricing_public_on_demand_cost,pricing_public_on_demand_rate,pricing_purchase_option,pricing_rate_code,pricing_rate_id,pricing_term,pricing_unit,product,product_comment,product_fee_code,product_fee_description,product_from_location,product_from_location_type,product_from_region_code,product_instance_family,product_instance_type,product_instancesku,product_location,product_location_type,product_operation,product_pricing_unit,product_product_family,product_region_code,product_servicecode,product_sku,product_to_location,product_to_location_type,product_to_region_code,product_usagetype,reservation_amortized_upfront_cost_for_usage,reservation_amortized_upfront_fee_for_billing_period,reservation_availability_zone,reservation_effective_cost,reservation_end_time,reservation_modification_status,reservation_net_amortized_upfront_cost_for_usage,reservation_net_amortized_upfront_fee_for_billing_period,reservation_net_effective_cost,reservation_net_recurring_fee_for_usage,reservation_net_unused_amortized_upfront_fee_for_billing_period,reservation_net_unused_recurring_fee,reservation_net_upfront_value,reservation_normalized_units_per_reservation,reservation_number_of_reservations,reservation_recurring_fee_for_usage,reservation_reservation_a_r_n,reservation_start_time,reservation_subscription_id,reservation_total_reserved_normalized_units,reservation_total_reserved_units,reservation_units_per_reservation,reservation_unused_amortized_upfront_fee_for_billing_period,reservation_unused_normalized_unit_quantity,reservation_unused_quantity,reservation_unused_recurring_fee,reservation_upfront_value,resource_tags,savings_plan_amortized_upfront_commitment_for_billing_period,savings_plan_end_time,savings_plan_instance_type_family,savings_plan_net_amortized_upfront_commitment_for_billing_period,savings_plan_net_recurring_commitment_for_billing_period,savings_plan_net_savings_plan_effective_cost,savings_plan_offering_type,savings_plan_payment_option,savings_plan_purchase_term,savings_plan_recurring_commitment_for_billing_period,savings_plan_region,savings_plan_savings_plan_a_r_n,savings_plan_savings_plan_effective_cost,savings_plan_savings_plan_rate,savings_plan_start_time,savings_plan_total_commitment_to_date,savings_plan_used_commitment,split_line_item_actual_usage,split_line_item_net_split_cost,split_line_item_net_unused_cost,split_line_item_parent_resource_id,split_line_item_public_on_demand_split_cost,split_line_item_public_on_demand_unused_cost,split_line_item_reserved_usage,split_line_item_split_cost,split_line_item_split_usage,split_line_item_split_usage_ratio,split_line_item_unused_cost
Anniversary,AWS,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,,"Amazon Web Services, Inc.",938871395471,NuvoCodes,{},{},,,nreb7mg36zd2albxcqnf6q2asgqgi5xstkkvat7c5vfaffsmxqrq,2024-02-01T00:00:00Z/2024-03-01T00:00:00Z,,0.0,,USD,"Amazon Web Services, Inc.",Tax for product code AWSCostExplorer usage type USE1-APIRequest,Tax,,,0.0,0.0,,AWSCostExplorer,USSalesTax,0.0,,938871395471,NuvoCodes,1.0,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,USE1-APIRequest,,,,0.0,,,,,,,"{""product_name"":""AWS Cost Explorer""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,
Anniversary,AWS,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,,"Amazon Web Services, Inc.",938871395471,NuvoCodes,{},{},,,no27m2ly7qqodc2i5tnxldzq5urdkkaz6znh2q7y6meyfiavzelq,2024-02-01T00:00:00Z/2024-03-01T00:00:00Z,,0.0,,USD,"Amazon Web Services, Inc.",Tax for product code AmazonECR usage type TimedStorage-ByteHrs,Tax,,,0.0,0.0,,AmazonECR,USSalesTax,0.0,,938871395471,NuvoCodes,1.0,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,TimedStorage-ByteHrs,,,,0.0,,,,,,,"{""product_name"":""Amazon EC2 Container Registry (ECR)""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,
Anniversary,AWS,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,,"Amazon Web Services, Inc.",938871395471,NuvoCodes,{},{},,,a4kaqooeqz7xhe2iwsomgqetsdtbccqu2oxzix3jiozbc7j27mja,2024-02-01T00:00:00Z/2024-03-01T00:00:00Z,,0.0,,USD,"Amazon Web Services, Inc.",Tax for product code AmazonEC2 usage type EBS:VolumeUsage.gp2,Tax,,,0.0,0.0,,AmazonEC2,USSalesTax,0.0,,938871395471,NuvoCodes,1.0,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,EBS:VolumeUsage.gp2,,,,0.0,,,,,,,"{""product_name"":""Amazon Elastic Compute Cloud""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,
Anniversary,AWS,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,,"Amazon Web Services, Inc.",938871395471,NuvoCodes,{},{},,,sk7d3vv4m6vgf5yxcyjkofo3nddzkw6tewjeccakrixewbsjbcvq,2024-02-01T00:00:00Z/2024-03-01T00:00:00Z,,0.0,,USD,"Amazon Web Services, Inc.",Tax for product code AmazonECS usage type USE1-Fargate-GB-Hours,Tax,,,0.0,0.0,,AmazonECS,USSalesTax,0.0,,938871395471,NuvoCodes,1.0,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,USE1-Fargate-GB-Hours,,,,0.0,,,,,,,"{""product_name"":""Amazon Elastic Container Service""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,
Anniversary,AWS,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,,"Amazon Web Services, Inc.",938871395471,NuvoCodes,{},{},,,pm5gixaeuke6hyzfiipih4dz2o2sdudsrs7uj7jm7nql2k3xshta,2024-02-01T00:00:00Z/2024-03-01T00:00:00Z,,0.0,,USD,"Amazon Web Services, Inc.",Tax for product code AmazonECS usage type USE1-Fargate-vCPU-Hours:perCPU,Tax,,,0.0,0.0,,AmazonECS,USSalesTax,0.0,,938871395471,NuvoCodes,1.0,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,USE1-Fargate-vCPU-Hours:perCPU,,,,0.0,,,,,,,"{""product_name"":""Amazon Elastic Container Service""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,
Anniversary,AWS,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,,"Amazon Web Services, Inc.",938871395471,NuvoCodes,{},{},,,dk5vz77xkekv7pie7n4f6qoweayjdm5cnqbil635ilfttr6makdq,2024-02-01T00:00:00Z/2024-03-01T00:00:00Z,,0.0,,USD,"Amazon Web Services, Inc.",Tax for product code AmazonRDS usage type RDS:ChargedBackupUsage operation CreateDBInstance,Tax,,,0.0,0.0,CreateDBInstance,AmazonRDS,USSalesTax,0.0,,938871395471,NuvoCodes,1.0,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,RDS:ChargedBackupUsage,,,,0.0,,,,,,,"{""product_name"":""Amazon Relational Database Service""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,
Anniversary,AWS,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,,"Amazon Web Services, Inc.",938871395471,NuvoCodes,{},{},,,m54gn3udamwgdfqbd5ov3ggea7fi4vr3woganvln4bgoztb47p5q,2024-02-01T00:00:00Z/2024-03-01T00:00:00Z,,0.0,,USD,"Amazon Web Services, Inc.",Tax for product code AmazonRoute53 usage type HostedZone,Tax,,,0.0,0.0,,AmazonRoute53,USSalesTax,0.0,,938871395471,NuvoCodes,1.0,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,HostedZone,,,,0.0,,,,,,,"{""product_name"":""Amazon Route 53""}",,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,
Anniversary,AWS,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,,"Amazon Web Services, Inc.",938871395471,NuvoCodes,{},{},,,67oa56crcoddp74rbqwppp4meah5gvpdmm7u6mpm6szeddpka72q,2024-02-01T00:00:00Z/2024-03-01T00:00:00Z,,0.0,0.0000000000,USD,"Amazon Web Services, Inc.",$0.000 per request - HTTP or HTTPS under the global monthly free tier,Usage,,,0.0,0.0,GET,AmazonCloudFront,,0.0,0.0000000000,938871395471,NuvoCodes,7.0,2024-02-11T07:00:00.000Z,2024-02-01T07:00:00.000Z,CA-Requests-Tier1,USD,,,5.25E-6,0.0000007500,,29K2E4HBJAYXK2EK.A429C66SYZ.6YS6EN2CT7,35115493919,,Requests,"{""request_type"":""CloudFront-Request-Tier1"",""request_description"":""HTTP GET and HEAD requests"",""product_name"":""Amazon CloudFront"",""region"":""ca-central-1"",""servicename"":""Amazon CloudFront""}",,,,,,,,,,Canada,AWS Edge Location,,,Request,,AmazonCloudFront,29K2E4HBJAYXK2EK,,,,CA-Requests-Tier1,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,3209011330,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,
Anniversary,AWS,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,,"Amazon Web Services, Inc.",938871395471,NuvoCodes,{},{},,,kghq6flmftzfkrvyfwesibf6rsqh4edgdrissnq6ywwkcgzmqg4q,2024-02-01T00:00:00Z/2024-03-01T00:00:00Z,,5.36E-8,0.0200000000,USD,"Amazon Web Services, Inc.",$0.02 per GB - US East (Northern Virginia) data transfer to EU (Germany),Usage,,,0.0,0.0,FargateTask,AmazonECS,,5.36E-8,0.0200000000,938871395471,NuvoCodes,2.6757E-6,2024-02-05T17:00:00.000Z,2024-02-05T09:00:00.000Z,USE1-EUC1-AWS-Out-Bytes,USD,,,5.35E-8,0.0200000000,,2BG23N2FNX3BKVFW.JRTCKXETXF.6YS6EN2CT7,43049777500,OnDemand,GB,"{""transfer_type"":""InterRegion Outbound"",""product_name"":""Amazon Elastic Container Service"",""region"":""us-east-1"",""servicename"":""AWS Data Transfer""}",,,,US East (N. Virginia),AWS Region,us-east-1,,,,,,,,Data Transfer,,AWSDataTransfer,2BG23N2FNX3BKVFW,EU (Frankfurt),AWS Region,eu-central-1,USE1-EUC1-AWS-Out-Bytes,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,3209011310,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,
Anniversary,AWS,2024-03-01T00:00:00.000Z,2024-02-01T00:00:00.000Z,,"Amazon Web Services, Inc.",938871395471,NuvoCodes,{},{},,,ytmh2764rllk74bfct4nrc6soog3jvvbhik4lf24ksf36ub77mwq,2024-02-01T00:00:00Z/2024-03-01T00:00:00Z,,0.0,0.0000000000,USD,"Amazon Web Services, Inc.",$0.000 per request - HTTP or HTTPS under the global monthly free tier,Usage,,,0.0,0.0,POST,AmazonCloudFront,,0.0,0.0000000000,938871395471,NuvoCodes,4.0,2024-02-06T11:00:00.000Z,2024-02-06T10:00:00.000Z,AP-Requests-HTTP-Proxy,USD,,,3.6E-6,0.0000009000,,2HPGFMFR4R8MYDJV.A429C66SYZ.6YS6EN2CT7,35115493909,,Requests,"{""request_type"":""CloudFront-Request-HTTP-Proxy"",""request_description"":""HTTP DELETE, OPTIONS, PATCH, POST, and PUT requests that CloudFront forwards to your origin"",""product_name"":""Amazon CloudFront"",""region"":""ap-southeast-1"",""servicename"":""Amazon CloudFront""}",,,,,,,,,,Asia Pacific,AWS Edge Location,,,Request,,AmazonCloudFront,2HPGFMFR4R8MYDJV,,,,AP-Requests-HTTP-Proxy,0.0,0.0,,0.0,,,,,,,,,,"","",0.0,,,3209011330,"","","",0.0,0.0,0.0,0.0,0.0,{},0.0,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,
